0	-21474836
100	-214748
200	32246
300	25275
400	24339
500	23726
600	24082
700	19026
800	10043
900	9865
1000	9868
1100	9769
1200	7661
1300	7058
1400	7054
1500	7054
1600	7039
1700	7014
1800	7030
1900	7048
2000	7049
2100	7064
2200	7065
2300	7068
2400	7029
2500	7057
2600	7052
2700	7036
2800	7048
2900	7068
3000	7047
3100	7038
3200	7041
3300	7053
3400	7057
3500	7058
3600	7033
3700	7046
3800	7201
3900	7071
4000	7042
4100	6989
4200	6979
4300	6979
4400	7000
4500	7017
4600	7012
4700	7016
4800	6999
4900	7022
